Date;Day;Round;Venue;Result;Squad;Opponent;Start;Pos;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Press;Tkl;Int;Blocks;xG;npxG;xA;SCA;GCA;Cmp;Att;Cmp%;Prog;Carries;Prog;Succ;Att;Rating;MOTM
25/09/2021;Sat;Matchweek 6;Home;L 0–1;Manchester Utd;Aston Villa;Y;RW;90;0;0;0;0;8;2;0;0;38;6;0;0;0;0,6;0,6;0,2;5;0;21;26;80,8;2;35;9;4;4;7,5;
19/09/2021;Sun;Matchweek 5;Away;W 2–1;Manchester Utd;West Ham;Y;RW;72;0;0;0;0;0;0;0;0;47;8;0;1;0;0;0;0;3;0;35;41;85,4;4;33;9;1;1;7,4;
11/09/2021;Sat;Matchweek 4;Home;W 4–1;Manchester Utd;Newcastle Utd;Y;RW;84;0;0;0;0;2;1;0;0;45;12;1;1;1;0,1;0,1;0,1;7;2;29;36;80,6;1;39;11;1;3;7,1;
29/08/2021;Sun;Matchweek 3;Away;W 1–0;Manchester Utd;Wolves;Y;FW,RW;89;1;0;0;0;3;1;0;0;42;4;0;0;0;0,3;0,3;0,2;2;0;24;32;75;1;33;7;3;4;7,9;1
22/08/2021;Sun;Matchweek 2;Away;D 1–1;Manchester Utd;Southampton;Y;RW,FW;90;1;0;0;0;5;1;0;0;43;9;3;0;1;0,4;0,4;0;2;0;19;29;65,5;2;20;3;0;0;7,9;1
14/08/2021;Sat;Matchweek 1;Home;W 5–1;Manchester Utd;Leeds United;Y;FW,RW;90;1;0;0;0;3;2;0;0;42;16;2;1;1;0,1;0,1;0,2;5;1;21;27;77,8;3;33;6;4;5;8,1;
12/03/2022;Sat;Matchweek 29;Home;W 3–2;Manchester Utd;Tottenham;Y;FW;82;3;0;0;0;9;5;0;0;56;4;0;0;0;1;1;0;3;0;41;42;97,6;0;42;6;0;0;9,7;1
26/02/2022;Sat;Matchweek 27;Home;D 0–0;Manchester Utd;Watford;Y;FW;90;0;0;0;0;4;1;0;0;33;9;0;0;1;0,7;0,7;0,2;5;0;18;19;94,7;2;25;1;3;4;6,9;
20/02/2022;Sun;Matchweek 26;Away;W 4–2;Manchester Utd;Leeds United;Y;FW;84;0;0;0;0;2;1;1;0;26;4;0;0;0;0,9;0,9;0,1;3;0;18;21;85,7;2;16;2;0;1;7;
15/02/2022;Tue;Matchweek 18;Home;W 2–0;Manchester Utd;Brighton;Y;FW;90;1;0;0;0;5;2;0;0;36;6;1;1;1;0,6;0,6;0,8;5;1;21;26;80,8;2;24;4;2;2;8,3;1
12/02/2022;Sat;Matchweek 25;Home;D 1–1;Manchester Utd;Southampton;Y;FW;90;0;0;0;0;2;1;0;0;28;16;1;0;3;0,6;0,6;0;2;0;10;13;76,9;0;14;1;2;4;6,8;
08/02/2022;Tue;Matchweek 24;Away;D 1–1;Manchester Utd;Burnley;N;FW;23;0;0;0;0;3;0;0;0;9;1;0;0;0;0,3;0,3;0;1;0;5;6;83,3;1;4;1;0;0;6,1;
22/01/2022;Sat;Matchweek 23;Home;W 1–0;Manchester Utd;West Ham;Y;FW;90;0;0;0;0;3;1;0;0;48;6;0;0;0;0,2;0,2;0,1;6;0;32;39;82,1;2;37;11;0;0;7;
19/01/2022;Wed;Matchweek 17;Away;W 3–1;Manchester Utd;Brentford;Y;FW;70;0;0;0;0;3;0;0;0;34;6;2;0;0;0,1;0,1;0;1;1;19;26;73,1;4;26;5;0;0;7;
03/01/2022;Mon;Matchweek 21;Home;L 0–1;Manchester Utd;Wolves;Y*;FW;90;0;0;0;0;2;1;0;0;49;10;1;0;0;0,1;0,1;0,1;1;0;29;39;74,4;3;22;5;0;0;6,3;
30/12/2021;Thu;Matchweek 20;Home;W 3–1;Manchester Utd;Burnley;Y;FW;89;1;1;0;0;7;1;0;0;46;4;1;0;0;1,4;1,4;0,1;3;1;24;36;66,7;3;25;8;0;1;8,6;1
27/12/2021;Mon;Matchweek 19;Away;D 1–1;Manchester Utd;Newcastle Utd;Y;FW;90;0;0;0;0;2;0;1;0;36;7;0;0;0;0,1;0,1;0;0;0;23;30;76,7;1;19;1;1;1;6,6;
11/12/2021;Sat;Matchweek 16;Away;W 1–0;Manchester Utd;Norwich City;Y;FW;90;1;0;1;1;2;1;0;0;49;10;1;0;0;1,6;0,8;0;2;1;26;36;72,2;1;23;2;0;1;8,2;1
05/12/2021;Sun;Matchweek 15;Home;W 1–0;Manchester Utd;Crystal Palace;Y;FW;90;0;0;0;0;5;1;0;0;50;11;0;0;0;0,3;0,3;0,1;2;0;27;36;75;1;18;2;1;1;7,4;
02/12/2021;Thu;Matchweek 14;Home;W 3–2;Manchester Utd;Arsenal;Y;FW;87;2;0;1;1;5;3;0;0;33;5;0;0;0;1,2;0,5;0;5;0;19;25;76;2;23;4;3;3;9,1;1
28/11/2021;Sun;Matchweek 13;Away;D 1–1;Manchester Utd;Chelsea;N;FW;27;0;0;0;0;0;0;1;0;8;3;0;0;0;0;0;0;0;0;6;6;100;0;5;0;0;1;5,8;
20/11/2021;Sat;Matchweek 12;Away;L 1–4;Manchester Utd;Watford;Y;FW;90;0;1;0;0;4;1;0;0;33;2;0;0;0;0,6;0,6;0,8;3;1;20;23;87;1;26;6;1;4;7,4;
06/11/2021;Sat;Matchweek 11;Home;L 0–2;Manchester Utd;Manchester City;Y;FW;90;0;0;0;0;1;1;1;0;29;10;0;0;0;0,1;0,1;0;2;0;17;20;85;0;15;4;0;1;5,9;
30/10/2021;Sat;Matchweek 10;Away;W 3–0;Manchester Utd;Tottenham;Y;FW;70;1;1;0;0;2;1;0;0;36;4;0;0;1;0,1;0,1;0,4;3;2;24;29;82,8;2;22;3;1;2;8,6;1
24/10/2021;Sun;Matchweek 9;Home;L 0–5;Manchester Utd;Liverpool;Y;FW;90;0;0;0;0;4;1;1;0;38;8;0;1;1;0,3;0,3;0;1;0;24;29;82,8;2;21;5;0;0;6,3;
16/10/2021;Sat;Matchweek 8;Away;L 2–4;Manchester Utd;Leicester City;Y;FW;90;0;0;0;0;3;1;0;0;39;8;0;0;0;0,4;0,4;0;2;0;27;31;87,1;2;25;7;1;1;6,5;
02/10/2021;Sat;Matchweek 7;Home;D 1–1;Manchester Utd;Everton;N;FW;34;0;0;0;0;1;0;0;0;17;1;0;0;0;0,1;0,1;0,1;2;0;12;14;85,7;2;11;4;0;0;6,5;
25/09/2021;Sat;Matchweek 6;Home;L 0–1;Manchester Utd;Aston Villa;Y;FW,LW;90;0;0;0;0;4;0;0;0;35;4;0;0;1;0,1;0,1;0;5;0;18;26;69,2;1;17;7;1;1;6,4;
19/09/2021;Sun;Matchweek 5;Away;W 2–1;Manchester Utd;West Ham;Y;FW;90;1;0;0;0;7;5;0;0;45;2;0;0;0;1,3;1,3;0;2;1;25;29;86,2;2;31;5;0;3;8;1
11/09/2021;Sat;Matchweek 4;Home;W 4–1;Manchester Utd;Newcastle Utd;Y;FW;90;2;0;0;0;6;2;0;0;65;2;0;1;1;1,3;1,3;0;2;0;43;48;89,6;4;49;7;0;0;8,9;1
